tanggal,PM2.5,PM10,SO2,NO2,CO,O3
05/03/2013,60,75,20,36,1100,95
05/03/2013,46,54,40,75,2299,95
05/03/2013,72,113,33,61,1600,95
05/03/2013,56,78,31,53,1100,95
05/03/2013,51,66,34,69,2000,95
05/03/2013,68,105,40,66,1600,95
05/03/2013,68,92,42,75,1899,95
05/03/2013,87,117,42,92,2000,95
05/03/2013,107,160,42,80,1500,95
05/03/2013,109,139,42,65,1399,55
05/03/2013,118,133,42,55,1300,95
05/03/2013,126,127,42,60,1300,95
05/03/2013,124,129,42,76,1500,92
05/03/2013,149,153,42,81,1500,86
05/03/2013,151,158,42,104,1600,81
05/03/2013,158,168,42,106,1700,81
05/03/2013,161,172,42,117,1899,81
05/03/2013,173,187,42,117,2299,81
05/03/2013,191,210,42,94,2100,81
05/03/2013,181,183,42,78,1899,81
05/03/2013,141,160,42,74,1899,81
06/03/2013,152,154,42,115,2700,81
06/03/2013,180,195,42,72,2000,81
06/03/2013,146,153,42,100,2399,81
06/03/2013,170,179,42,74,2449.5,81
06/03/2013,149,155,42,87.5,2500,81
06/03/2013,182,202,42,101,2500,81
06/03/2013,182,187,42,94,2399,81
06/03/2013,187,190,42,93,2700,81
06/03/2013,195,200,42,85,2299,81
06/03/2013,193,200,42,86,2750,81
06/03/2013,200,219,42,114,2750,81
06/03/2013,223,276.5,42,117,2750,81
06/03/2013,223,276.5,42,117,2750,81
06/03/2013,223,276.5,42,117,2750,81
06/03/2013,223,276.5,42,117,2750,81
06/03/2013,223,276.5,42,117,2750,81
06/03/2013,223,276.5,42,117,2750,66
06/03/2013,223,276.5,42,117,2700,60
06/03/2013,223,276.5,42,117,2600,39
06/03/2013,223,276.5,42,117,2700,37
06/03/2013,223,276.5,42,117,2750,37
06/03/2013,223,276.5,42,117,2750,37
06/03/2013,223,276.5,42,117,2750,35
06/03/2013,223,276.5,42,117,2750,30
07/03/2013,223,276.5,42,117,2750,30
07/03/2013,206,249,42,117,2750,22
07/03/2013,223,228,42,111,2750,22
07/03/2013,208,211,42,105,2750,22
07/03/2013,198,200,42,110,2750,22
07/03/2013,201,215,42,108,2750,22
07/03/2013,202,234,42,102,2750,22
07/03/2013,175,206,42,95,2750,22
07/03/2013,143,180,42,96,2750,22
07/03/2013,140,200,42,114,2750,22
07/03/2013,169,240,42,117,2750,22
07/03/2013,223,276.5,42,111,2299,22
07/03/2013,174,183,42,62,1300,41
07/03/2013,71,82,42,53,1100,65
07/03/2013,83,88,42,98,1600,65
07/03/2013,137,133,42,117,2500,65
07/03/2013,207,230,42,117,2750,65
07/03/2013,223,276.5,42,117,2750,65
07/03/2013,223,276.5,42,117,2500,65
07/03/2013,223,247,42,117,2750,21
07/03/2013,223,276.5,42,117,2750,65
07/03/2013,223,276.5,42,117,2750,65
07/03/2013,223,241,42,117,2750,65
07/03/2013,223,261,42,117,2750,65
08/03/2013,223,238,42,117,2750,65
08/03/2013,216,227,42,117,2750,65
08/03/2013,223,276.5,42,117,2750,65
08/03/2013,223,276.5,42,117,2750,65
08/03/2013,223,273,42,117,2750,65
08/03/2013,223,235,42,105,2750,65
08/03/2013,193,211,30,36,700,65
08/03/2013,72,135,42,85,1500,65
08/03/2013,79,159,42,84,1700,65
08/03/2013,85,182,42,87,2399,65
08/03/2013,180,257,42,94.0274,2299.5,65
08/03/2013,207,264,42,96,2200,65
08/03/2013,179,222,42,76,1700,67
08/03/2013,153,202,37,75,1500,77
08/03/2013,159,244,40,88,1600,86
08/03/2013,223,276.5,42,117,2750,107
08/03/2013,223,276.5,42,86,2750,107
08/03/2013,173,252,42,65,1899,107
08/03/2013,141,213,42,65,1500,107
08/03/2013,112,182,42,62,1399,107
08/03/2013,113,158,42,67,1300,107
08/03/2013,117,138,42,69,1100,107
08/03/2013,99,118,42,59,1300,107
08/03/2013,100,132,42,63,1600,107
09/03/2013,100,133,42,65,1700,107
09/03/2013,96,103,42,50,1700,107
09/03/2013,102,132,36,51,1800,107
09/03/2013,107,128,28,43,1500,107
09/03/2013,97,112,33,40,1399,107
09/03/2013,104,123,42,73,1700,107
09/03/2013,106,128,42,87,1700,107
09/03/2013,104,131,42,83,1899,107
09/03/2013,116,162,42,91,2200,107
09/03/2013,142,276.5,42,63,1700,107
09/03/2013,106,276.5,34,26,900,107
09/03/2013,28,276.5,8,11,400,107
09/03/2013,35,276.5,3,4,300,107
09/03/2013,20,276.5,3,4,300,107
09/03/2013,21,276.5,3,5,300,107
09/03/2013,22,260,4,7,300,97
09/03/2013,9,191,8,8,300,94
09/03/2013,13,196,3,7,300,94
09/03/2013,15,110,6,9,300,94
09/03/2013,13,83,17,13,400,94
09/03/2013,12,64,13,10,300,94
09/03/2013,8,55,18,12,300,94
09/03/2013,14,29,3,7,400,94
09/03/2013,8,22,3,8,400,94
10/03/2013,12,20,3,10,500,94
10/03/2013,13,19,7,14,500,94
10/03/2013,10,11,8,15,600,94
10/03/2013,3,7,9,24,500,94
10/03/2013,3,8,11,24,400,94
10/03/2013,3,14,19,19,300,94
10/03/2013,10,13,22,20,300,94
10/03/2013,12,18,27,43,500,94
10/03/2013,20,46,31,67,1100,94
10/03/2013,16,17,14,31,600,94
10/03/2013,6,10,9,16,400,94
10/03/2013,12,32,14,25,400,94
10/03/2013,21,48,12,24,400,94
10/03/2013,20,36,11,20,500,94
10/03/2013,22,37,12,19,400,92
10/03/2013,27,45,11,19,400,103
10/03/2013,40,69,13,22,400,103
10/03/2013,41,75,30,28,500,103
10/03/2013,47,82,42,44,500,103
10/03/2013,51,102,30,44,600,103
10/03/2013,69,118,29,73,900,103
10/03/2013,80,118,35,68,1100,103
10/03/2013,95,131,42,81,1300,103
10/03/2013,93,127,41,73,1300,103
11/03/2013,79,107,34,53,1100,103
11/03/2013,69,89,26,38,1000,103
11/03/2013,91,137,36,81,2100,103
11/03/2013,78,102,34,58,1200,103
11/03/2013,76,98,32,59,1300,103
11/03/2013,91,141,31,83,2299,103
11/03/2013,98,164,37,78,2100,103
11/03/2013,83,109,34,73,1399,103
11/03/2013,114,173,42,79,2299,103
11/03/2013,120,186,42,82,2100,103
11/03/2013,125,180,42,85,1800,103
11/03/2013,117,153,42,66,1399,103
11/03/2013,129,153,42,70,1500,103
11/03/2013,128,153,42,74,1399,103
11/03/2013,150,181,42,97,1700,103
11/03/2013,152,170,42,102,1600,103
11/03/2013,150,172,42,105,1500,96
11/03/2013,148,173,42,105,1500,75
11/03/2013,148,187,42,96,1700,72
11/03/2013,155,222,42,115,2000,47
11/03/2013,169,233,42,117,2299,47
11/03/2013,174,223,42,111,2200,47
11/03/2013,172,223,42,104,2000,47
11/03/2013,159,202,42,104,1700,47
12/03/2013,150,189,42,102,1600,47
12/03/2013,132,168,42,94,1500,42
12/03/2013,123,157,42,84,1600,42
12/03/2013,121,150,42,82,1500,42
12/03/2013,130,154,42,82,1600,42
12/03/2013,126,164,42,84,1899,42
12/03/2013,124,168,42,85,1800,42
12/03/2013,124,125,17,82,1800,42
12/03/2013,100,106,16,81,1700,42
12/03/2013,122,106,17,75,1700,42
12/03/2013,129,102,16,74,1700,42
12/03/2013,119,137,16,83,2200,42
12/03/2013,150,138,20,81,1899,42
12/03/2013,136,107,35,78,1600,34
12/03/2013,128,139,42,80,1899,34
12/03/2013,156,167,34,85,2000,34
12/03/2013,180,188,39,88,2299,32
12/03/2013,210,188,42,96,2299,29
12/03/2013,201,174,40,95,2200,10
12/03/2013,203,177,42,95,2299,8
12/03/2013,185,192,33,98,2600,8
12/03/2013,203,193,42,91,2750,8
12/03/2013,47,47,42,31,700,45
12/03/2013,9,9,42,16,400,68
13/03/2013,3,6,37,12,300,74
13/03/2013,13,6,12,6,400,79
13/03/2013,8,8,7,7,400,79
13/03/2013,6,6,5,7,300,80
13/03/2013,7,11,13,34,400,80
13/03/2013,3,8,19,38,400,80
13/03/2013,3,10,17,30,500,80
13/03/2013,3,8,18,37,600,80
13/03/2013,3,6,10,22,400,80
13/03/2013,8,6,9,13,300,80
13/03/2013,3,6,16,12,300,81
13/03/2013,3,6,6,10,300,85
13/03/2013,3,6,7,10,300,85
13/03/2013,3,6,9,11,300,85
13/03/2013,14,6,8,11,300,88
13/03/2013,3,9,6,11,300,90
13/03/2013,3,6,8,11,300,92
13/03/2013,17,22,8,19,300,92
13/03/2013,17,24,11,25,400,92
13/03/2013,26,39,9,35,500,92
13/03/2013,42,48,16,45,700,92
13/03/2013,38,49,15,52,700,92
13/03/2013,39,58,19,67,800,92
13/03/2013,50,64,25,75,1000,92
14/03/2013,54,64,24,73,1100,92
14/03/2013,61,77,31,83,1100,92
14/03/2013,76,112,31,77,1500,92
14/03/2013,80,88,23,69,1500,92
14/03/2013,73,75,21,69,1500,92
14/03/2013,58,66,25,54,1399,92
14/03/2013,56,66,28,52,1300,92
14/03/2013,56,71,27,56,1399,92
14/03/2013,80,88,41,60,1600,92
14/03/2013,98,121,42,67,1800,92
14/03/2013,112,131,42,66,1800,92
14/03/2013,117,134,42,61,1500,92
14/03/2013,97,111,42,48,1300,92
14/03/2013,100,115,42,49,1300,92
14/03/2013,110,131,42,61,1399,92
14/03/2013,144,153,42,81,1500,92
14/03/2013,158,160,42,87,1500,86
14/03/2013,152,157,42,87,1399,77
14/03/2013,147,152,42,91,1399,62
14/03/2013,160,169,42,109,1500,50
14/03/2013,162,173,42,109,1600,50
14/03/2013,175,179,42,108,1800,50
14/03/2013,158,161,42,95,1899,50
14/03/2013,132,146,42,79,1700,50
15/03/2013,127,142,42,72,1600,50
15/03/2013,128,140,42,80,1800,50
15/03/2013,162,168,42,84,2399,50
15/03/2013,136,137,40,75,1899,50
15/03/2013,130,131,42,68,1500,50
15/03/2013,128,133,42,71,1600,50
15/03/2013,128,132,42,71,1600,50
15/03/2013,130,136,42,67,1500,50
15/03/2013,132,151,42,63,1600,50
15/03/2013,145,174,42,75,2100,50
15/03/2013,145,174,42,75,2700,10
15/03/2013,204,208,42,87,1899,17
15/03/2013,173,192,42,80,1600,33
15/03/2013,176,207,42,76,1600,50
15/03/2013,196,219,42,75,1600,60
15/03/2013,200,213,42,70,1500,81
15/03/2013,205,240,42,89,1700,81
15/03/2013,223,265,42,106,1800,81
15/03/2013,223,275,42,114,1899,81
15/03/2013,223,276.5,42,117,2000,81
15/03/2013,223,276.5,42,117,2299,81
15/03/2013,223,247,42,108,2100,81
15/03/2013,223,253,42,115,2299,81
15/03/2013,223,243,42,108,2200,81
16/03/2013,223,244,42,105,2100,81
16/03/2013,223,249,42,114,2399,81
16/03/2013,223,252,42,111,2299,81
16/03/2013,223,250,42,103,2100,81
16/03/2013,223,258,30,95,2299,81
16/03/2013,223,276.5,41,110,2750,81
16/03/2013,223,271,41,98,2700,81
16/03/2013,223,274,30,93,2750,81
16/03/2013,223,276.5,42,95,2750,81
16/03/2013,223,276.5,42,96,2600,81
16/03/2013,223,276.5,42,109,2600,81
16/03/2013,223,276.5,42,112,2299,81
16/03/2013,209,170,42,63,1500,81
16/03/2013,148,149,42,58,1600,98
16/03/2013,144,152,42,62,1600,98
16/03/2013,147,163,42,57,1700,107
16/03/2013,139,145,42,50,1600,107
16/03/2013,133,170,42,66,1899,107
16/03/2013,162,194,42,87,2600,107
16/03/2013,223,276.5,42,117,2750,107
16/03/2013,223,276.5,42,117,2750,107
16/03/2013,223,271,42,110,2750,107
16/03/2013,223,246,42,92,2700,107
16/03/2013,223,246,42,80,2200,107
17/03/2013,223,232,42,61,1800,107
17/03/2013,223,174,42,54,1800,107
17/03/2013,218,168,42,57,1800,107
17/03/2013,212,163,42,62,1700,107
17/03/2013,208,159,42,76,1800,107
17/03/2013,210,167,42,73,1800,107
17/03/2013,180,180,42,84,1899,107
17/03/2013,216,164,42,98,2000,107
17/03/2013,176,200,42,91,2200,107
17/03/2013,195,218,42,91,2299,107
17/03/2013,207,241,42,89,2399,107
17/03/2013,223,270,42,88,2399,107
17/03/2013,223,276.5,42,90,2399,107
17/03/2013,223,276.5,42,104,2600,107
17/03/2013,223,276.5,42,117,2750,107
17/03/2013,223,276.5,42,117,2750,107
17/03/2013,223,276.5,42,117,2750,103
17/03/2013,223,276.5,42,117,2750,77
17/03/2013,223,276.5,42,117,2750,77
17/03/2013,223,276.5,42,117,2750,55
17/03/2013,223,276.5,42,117,2750,77
17/03/2013,223,276.5,42,117,2750,77
17/03/2013,223,276.5,42,117,2750,77
17/03/2013,223,276.5,42,117,2750,77
18/03/2013,223,276.5,42,115,2750,77
18/03/2013,170,276.5,18,35,1100,77
18/03/2013,25,99,19,5,300,84
18/03/2013,19,67,4,10,300,84
18/03/2013,20,58,4,10,300,84
18/03/2013,16,111,5,11,300,84
18/03/2013,3,21,11,12,300,84
18/03/2013,8,21,3,9,300,85
18/03/2013,6,6,3,9,200,85
18/03/2013,3,6,3,8,200,87
18/03/2013,3,6,3,8,200,92
18/03/2013,6,6,3,10,200,92
18/03/2013,7,6,3,8,200,93
18/03/2013,3,6,4,10,300,94
18/03/2013,14,6,5,13,300,94
18/03/2013,14,6,6,11,300,95
18/03/2013,14,6,6,11,200,97
18/03/2013,3,6,4,20,300,88
18/03/2013,18,20,6,31,400,76
18/03/2013,34,186,8,34,400,75
18/03/2013,58,198,21,44,800,52
18/03/2013,44,99,14,33,600,57
18/03/2013,45,73,12,33,700,51
18/03/2013,45,73,12,33,800,43
19/03/2013,41,59,11,37,800,44
19/03/2013,36,46,10,34,700,44
19/03/2013,28,53,4,30,600,43
19/03/2013,11,13,3,26,600,36
19/03/2013,30,6,3,25,500,35
19/03/2013,36,4,3,25,500,40
19/03/2013,30,6,3,21,500,39
19/03/2013,30,6,3,21,400,40
19/03/2013,12,38,8,52,700,14
19/03/2013,24,39,12,38,700,26
19/03/2013,34,51,11,24,600,36
19/03/2013,42,54,9,23,700,35
19/03/2013,68,69,6,37,800,23
19/03/2013,53,60,3,42,900,16
19/03/2013,77,52,3,44,900,12
19/03/2013,82,49,3,46,900,14
19/03/2013,56,29,4,27,600,39
19/03/2013,43,17,3,24,600,44
19/03/2013,23,6,3,14,500,59
19/03/2013,25,7,3,15,500,56
19/03/2013,22,6,3,16,500,48
19/03/2013,27,10,3,24,600,39
19/03/2013,20,6,3,15,400,56
19/03/2013,21,6,3,16,400,61
20/03/2013,5,10,3,19,700,46
20/03/2013,32,11,3,20,800,45
20/03/2013,27,14,3,13,600,58
20/03/2013,6,6,3,3,300,79
20/03/2013,7,6,3,4,300,77
20/03/2013,5,6,3,5,300,66
20/03/2013,10,6,3,18,500,54
20/03/2013,3,6,3,20,600,51
20/03/2013,8,34,3,20,600,53
20/03/2013,15,19,6,19,700,55
20/03/2013,45,6,19,51,1000,40
20/03/2013,24,42,16,42,700,50
20/03/2013,34,10,15,31,600,64
20/03/2013,22,6,16,25,500,75
20/03/2013,27,6,14,21,500,82
20/03/2013,34,36,11,22,500,88
20/03/2013,20,21,10,20,500,95
20/03/2013,47,49,10,21,600,88
20/03/2013,39,57,11,30,700,74
20/03/2013,61,66,7,42,800,55
20/03/2013,81,82,7,49,900,37
20/03/2013,69,85,5,53,1000,27
20/03/2013,74,91,4,60,1200,15
20/03/2013,82,97,4,68,1300,7
21/03/2013,89,99,5,67,1200,8
21/03/2013,90,105,6,58,1100,14
21/03/2013,94,105,7,61,1200,15
21/03/2013,93,108,8,61,1200,12
21/03/2013,95,104,10,51,1100,18
21/03/2013,107,104,9,51,1000,16
21/03/2013,84,84,7,52,900,12
21/03/2013,80,88,10,54,1000,10
21/03/2013,87,104,17,52,1300,13
21/03/2013,92,109,29,49,1300,20
21/03/2013,125,128,27,55,1399,20
21/03/2013,140,153,26,64,1600,20
21/03/2013,156,162,29,60,1500,32
21/03/2013,133,162,27,56,1399,47
21/03/2013,138,145,26,42,1200,74
21/03/2013,138,146,27,42,1200,73
21/03/2013,3,163,26,49,1200,72
21/03/2013,102,169,25,54,1300,68
21/03/2013,177,181,23,65,1399,55
21/03/2013,176,185,17,76,1500,36
21/03/2013,197,209,20,108,1899,9
21/03/2013,193,210,22,96,2100,14
21/03/2013,198,206,23,102,2100,5
21/03/2013,177,183,20,94,1899,6
22/03/2013,204,222,14,90,2700,11
22/03/2013,81,147,22,51,1300,38
22/03/2013,7,145,20,24,700,62
22/03/2013,3,6,3,14,600,65
22/03/2013,120,137,20,62,500,68
22/03/2013,3,6,3,11,500,72
22/03/2013,9,10,3,14,600,68
22/03/2013,8,24,3,32,700,49
22/03/2013,13,40,10,44,900,35
22/03/2013,99,117,18,56,700,55
22/03/2013,94,112,17,55,500,63
22/03/2013,88,107,16,53,500,66
22/03/2013,21,33,6,25,500,67
22/03/2013,32,80,13,35,800,62
22/03/2013,55,114,18,40,900,62
22/03/2013,100,178,22,44,1300,69
22/03/2013,106,174,19,38,1100,76
22/03/2013,88,159,19,38,1100,73
22/03/2013,87,164,20,44,1100,67
22/03/2013,90,165,22,52,1200,57
22/03/2013,88,159,20,55,1200,49
22/03/2013,91,159,16,60,1200,38
22/03/2013,82,144,13,62,1200,29
22/03/2013,58,96,10,57,1100,24
23/03/2013,60,84,9,63,1100,17
23/03/2013,59,93,8,74,1300,6
23/03/2013,54,83,9,73,1600,5
23/03/2013,44,68,8,62,1399,10
23/03/2013,45,63,9,58,1100,11
23/03/2013,45,63,10,59,1000,13
23/03/2013,51,66,8,51,1000,12
23/03/2013,52,71,10,52,1100,10
23/03/2013,56,78,15,52,1300,11
23/03/2013,65,90,26,53,1600,15
23/03/2013,69,94,37,53,1700,22
23/03/2013,68,83,41,51,1600,30
23/03/2013,67,88,42,46,1500,39
23/03/2013,84,102,39,49,1500,35
23/03/2013,97,124,41,54,1500,35
23/03/2013,90,122,40,51,1399,41
23/03/2013,87,164,29,50,1200,44
23/03/2013,19,128,3,17,600,77
23/03/2013,12,83,3,12,500,77
23/03/2013,8,53,3,11,500,77
23/03/2013,7,31,3,9,500,80
23/03/2013,9,24,3,9,400,79
23/03/2013,9,20,3,8,400,78
23/03/2013,5,14,3,6,400,79
24/03/2013,5,14,3,4,400,80
24/03/2013,6,14,3,6,400,77
24/03/2013,6,18,3,19,500,62
24/03/2013,13,21,3,27,600,54
24/03/2013,5,22,3,19,500,61
24/03/2013,6,23,3,20,400,66
24/03/2013,7,15,3,15,500,64
24/03/2013,10,24,3,24,500,50
24/03/2013,8,22,5,21,500,57
24/03/2013,10,19,4,16,500,68
24/03/2013,7,24,3,14,400,72
24/03/2013,12,19,6,17,500,70
24/03/2013,17,20,8,18,500,70
24/03/2013,12,20,6,17,500,73
24/03/2013,12,16,5,15,500,77
24/03/2013,16,23,6,15,500,78
24/03/2013,16,24,6,16,500,78
24/03/2013,15,26,6,17,500,78
24/03/2013,19,35,6,24,500,72
24/03/2013,31,68,6,39,560,61.6896
24/03/2013,45,92,8,50,620,47.3382
24/03/2013,59,94,12,67,680,25.2756
24/03/2013,60,96,12,62,740,23.1336
24/03/2013,40,66,6,35,800,41
25/03/2013,41,66,6,35,864.6470588,41.769
25/03/2013,33,63,5,31,929.2941176,33.6294
25/03/2013,44,71,5,38,993.9411765,11.9952
25/03/2013,70,112,11,66,1058.588235,8.9964
25/03/2013,77,118,15,67,1123.235294,8.9964
25/03/2013,70,102,14,65,1187.882353,6.426
25/03/2013,68,94,14,67,1252.529412,4.7124
25/03/2013,63,92,18,68,1317.176471,5.9976
25/03/2013,87,133,34,67,1381.823529,8.7822
25/03/2013,82,118,42,59,1446.470588,17.9928
25/03/2013,90,123,42,61,1511.117647,25.0614
25/03/2013,100,123,42,57,1575.764706,37.6992
25/03/2013,108,127,42,57,1640.411765,46.4814
25/03/2013,105,127,42,59,1705.058824,55.692
25/03/2013,114,134,42,63,1769.705882,62.9748
25/03/2013,121,145,42,78,1834.352941,57.4056
25/03/2013,127,156,38,85,1899,59
25/03/2013,131,157,35,71,1600,75
25/03/2013,124,149,33,65,1399,72
25/03/2013,125,165,30,79,1399,51
25/03/2013,133,176,27,95,1500,28
25/03/2013,148,192,27,113,1800,10
25/03/2013,148,184,29,105,2000,12
25/03/2013,136,162,25,80,1700,24
26/03/2013,132,155,22,69,1700,29
26/03/2013,132,151,20,58,1700,32
26/03/2013,128,148,21,59,1500,28
26/03/2013,144,195,14,90,1899.5,17
26/03/2013,136,172,16,90,2299,6
26/03/2013,134,164,13,88,2100,6
26/03/2013,143,206,14,89,2500,6
26/03/2013,124,144,15,78,2000,6
26/03/2013,149,214,27,86,2700,9
26/03/2013,175,252,42,94,2700,10
26/03/2013,163,212,42,94,2000,12
26/03/2013,185,230,42,86,1800,23
26/03/2013,202,246,42,94,1800,31
26/03/2013,212,256,42,104,1800,39
26/03/2013,207,248,42,117,1899,39
26/03/2013,223,263,42,110,1800,45
26/03/2013,223,247,42,80,1500,69
26/03/2013,223,270,42,85,1700,59
26/03/2013,223,272,42,100,1800,36
26/03/2013,223,272,42,100,2049.5,13.7088
26/03/2013,223,276.5,42,117,2299,8
26/03/2013,223,259,42,99,2000,20
26/03/2013,223,276,42,106,2200,14
26/03/2013,223,265,42,110,2299,7
27/03/2013,223,238,42,88,2000,12
27/03/2013,223,241,36,83,2200,11
27/03/2013,223,243,28,80,2399,7
27/03/2013,223,233,22,77,2200,7
27/03/2013,218,224,18,72,2200,6
27/03/2013,212,221,16,75,2100,5
27/03/2013,204,220,16,69,2100,5
27/03/2013,204,238,20,68,1899,6
27/03/2013,207,265,24,74,2100,7
27/03/2013,223,276.5,38,81,2399,8
27/03/2013,186,226,40,66,1700,25
27/03/2013,77,91,27,40,1100,59
27/03/2013,52,67,22,34,900,70
27/03/2013,26,89,11,29,700,80
27/03/2013,26,89,11,29,600,85
27/03/2013,11,79,3,23,500,86
27/03/2013,11,61,3,21,500,86.751
27/03/2013,4,31,3,14,500,88
27/03/2013,4,20,3,12,400,89
27/03/2013,11,18,3,12,400,90
27/03/2013,9,16,3,10,400,90
27/03/2013,6,11,3,9,400,88
27/03/2013,8,11,3,9,400,86
27/03/2013,8,11,3,9,400,86
28/03/2013,6,11,3,7,400,84
28/03/2013,7,11,3,8,400,81
28/03/2013,6,9,3,9,400,79
28/03/2013,3,8,3,8,400,79
28/03/2013,4,9,3,9,500,64
28/03/2013,13,19,3,26,600,51
28/03/2013,20,58,4,70,800,11
28/03/2013,21,42,3,66,900,17
28/03/2013,21,38,3,57,900,29
28/03/2013,21,38,3,57,600,41
28/03/2013,20,35,3,47,500,59
28/03/2013,21,41,3,29,500,65
28/03/2013,17,66,5,22,600,76
28/03/2013,15,35,5,19,600,80
28/03/2013,13,21,3,15,500,85
28/03/2013,11,23,3,15,500,86
28/03/2013,10,31,3,16,500,86
28/03/2013,11,30,3,16,500,86
28/03/2013,11,30,3,16,500,84
28/03/2013,12,38,3,28,600,70
28/03/2013,15,36,3,28,600,65
28/03/2013,14,35,3,27,600,61
28/03/2013,18,28,6,37,600,51
28/03/2013,10,21,3,32,600,53
29/03/2013,11,35,4,42,600,43
29/03/2013,19,28,3,49,700,37
29/03/2013,5,8,3,17,500,70
29/03/2013,8,28,3,37,600,43
29/03/2013,26,50,3,31,700,42
29/03/2013,26,50,3,31,900,44
29/03/2013,25,36,4,30,1100,7
29/03/2013,49,102,9,68,1100,9
29/03/2013,44,96,12,68,1200,14
29/03/2013,46,87,10,63,1000,21
29/03/2013,47,88,10,63,1100,44.1252
29/03/2013,48,76,21,46,1200,48
29/03/2013,46,63,21,39,1300,59
29/03/2013,52,79,26,39,1399,62
29/03/2013,52,76,29,39,1600,63
29/03/2013,59,91,26,41,1500,62
29/03/2013,93,145,31,55,1800,54
29/03/2013,104,146,28,63,1800,50
29/03/2013,94,135,24,61,1500,57
29/03/2013,91,130,19,57,1500,52
29/03/2013,90,107,15,49,1500,52
29/03/2013,96,114,15,54,1500,39
29/03/2013,93,130,18,56,1600,28
29/03/2013,78,117,26,54,1399,26
30/03/2013,78,117,26,54,1700,25
30/03/2013,69,98,42,55,2200,22
30/03/2013,67,94,42,55,1899,21
